gRNA,gene,T0_F,T0_M,T1_F,T1_M
Brie_Adam10_1,Adam10,139.862723927806,164.977978537023,1531.82736235748,607.87518242133
Brie_Adam10_2,Adam10,205.241727383627,212.290223463767,1522.64105133885,235.514990938095
Brie_Adam10_3,Adam10,179.845159112074,237.820982046878,1424.46235232718,749.862452986912
Brie_Adam10_4,Adam10,267.531959022637,258.174174204043,2002.05165762389,2201.09780876767
Brie_Adnp_1,Adnp,149.300637812504,146.053080566326,262.202626990224,662.807339306809
Brie_Adnp_2,Adnp,216.052428742463,225.680481461902,213.017586744613,364.386971451435
Brie_Adnp_3,Adnp,163.543307856686,168.90578754981,327.846474477557,433.194725058853
Brie_Adnp_4,Adnp,180.874749717678,123.021836809534,469.086006389079,440.227561753533
Brie_Agap1_1,Agap1,187.223891785566,202.827774478418,496.836320924541,686.186769399937
Brie_Agap1_2,Agap1,233.040673734921,226.394628555136,67.3762808033276,349.18083805753
Brie_Agap1_3,Agap1,232.869075300653,201.935090611876,318.086019020257,687.32722940448
Brie_Agap1_4,Agap1,223.774358284489,241.748791059664,912.134131558691,329.602941312879
Brie_Ago2_1,Ago2,264.443187205827,255.139049057799,740.656325877494,525.95213876167
Brie_Ago2_2,Ago2,145.010676955823,179.439457175009,192.157005473128,685.046309395395
Brie_Ago2_3,Ago2,175.555198255393,155.694066324983,540.47129826306,413.616828314201
Brie_Ago2_4,Ago2,148.785842509703,174.976037842297,335.884496618863,667.369179324981
Brie_Arih2_1,Arih2,189.45467143104,179.439457175009,341.434559525956,1216.12051817751
Brie_Arih2_2,Arih2,297.733283453672,285.668837293547,1155.37999207298,2289.67353578716
Brie_Arih2_3,Arih2,227.549523838369,258.352710977351,2567.58392970865,1934.23016770464
Brie_Arih2_4,Arih2,84.6080280937525,143.553565740007,188.520757361584,144.658343909516
Brie_Ass1_1,Ass1,164.916095330824,197.293134505856,384.49539242581,653.683659270467
Brie_Ass1_2,Ass1,123.38927423815,146.945764432868,318.660163458922,553.133102203274
Brie_Ass1_3,Ass1,226.519933232765,212.468760237075,511.189931891159,62.7353002498558
Brie_Ass1_4,Ass1,172.63802487285,221.21706212919,345.070807637499,118.427763805031
Brie_Atp2c1_1,Atp2c1,243.67977665949,213.004370557001,2157.07065606337,3832.33576859876
Brie_Atp2c1_2,Atp2c1,191.170655773712,169.084324323118,1940.42682120721,3480.12370386245
Brie_Atp2c1_3,Atp2c1,286.579385226301,277.813219267974,4561.97032815034,5241.75425754628
